name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2019 Maruti Vitara Brezza,VDI,Manual,"55,523 km",1st Owner,Diesel,"₹15,327/month","₹8,19,000","₹7,84,000",New Delhi
2015 Maruti Swift,VDI ABS,Manual,"1,17,499 km",1st Owner,Diesel,"₹7,351/month","₹4,19,000","₹3,76,000",New Delhi
2018 Maruti Swift,VXI,Manual,"91,534 km",2nd Owner,Petrol,"₹9,951/month","₹5,37,000","₹5,09,000",New Delhi
2019 Maruti Vitara Brezza,VDI,Manual,"50,767 km",1st Owner,Diesel,"₹14,975/month","₹8,19,000","₹7,66,000",New Delhi
2015 Maruti Alto 800,LXI,Manual,"35,843 km",3rd Owner,Petrol,"₹4,594/month",N/A,"₹2,35,000",New Delhi
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"97,494 km",1st Owner,Petrol,"₹9,013/month","₹5,33,000","₹4,61,000",New Delhi
2019 Honda Amaze,1.2L I-VTEC S,Manual,"43,184 km",1st Owner,CNG,"₹12,317/month","₹6,63,000","₹6,30,000",New Delhi
2014 Maruti Wagon R 1.0,VXI,Manual,"97,752 km",1st Owner,Petrol,"₹5,611/month",N/A,"₹2,87,000",New Delhi
2018 Hyundai Elite i20,MAGNA EXECUTIVE 1.2,Manual,"53,083 km",1st Owner,Petrol,"₹9,951/month","₹5,65,000","₹5,09,000",New Delhi
2019 Toyota Glanza,V CVT,Automatic,"37,778 km",1st Owner,Petrol,"₹15,190/month","₹8,79,000","₹7,77,000",New Delhi
2014 Maruti Wagon R 1.0,VXI,Manual,"79,204 km",2nd Owner,Petrol,"₹4,868/month","₹2,80,000","₹2,49,000",New Delhi
2019 Maruti Vitara Brezza,VDI,Manual,"61,307 km",1st Owner,Diesel,"₹13,451/month","₹8,05,000","₹6,88,000",New Delhi
2010 Maruti Wagon R 1.0,VXI,Manual,"61,569 km",2nd Owner,Petrol,"₹3,402/month","₹1,90,000","₹1,74,000",New Delhi
2019 Honda Amaze,1.2L I-VTEC S,Manual,"37,783 km",1st Owner,Petrol,"₹12,141/month","₹6,51,000","₹6,21,000",New Delhi
2019 Maruti Alto,LXI,Manual,"18,475 km",1st Owner,Petrol,"₹6,647/month","₹3,86,000","₹3,40,000",New Delhi
2018 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"79,371 km",1st Owner,Diesel,"₹12,043/month","₹6,61,000","₹6,16,000",New Delhi
2020 Maruti Swift,LXI,Manual,"44,817 km",2nd Owner,Petrol,"₹9,873/month","₹5,40,000","₹5,05,000",New Delhi
2021 Renault Kiger,RXZ MT DUAL TONE,Manual,"45,459 km",1st Owner,Petrol,"₹13,275/month","₹8,32,000","₹6,79,000",New Delhi
2014 Maruti Alto K10,VXI,Manual,"47,899 km",1st Owner,Petrol,"₹4,653/month","₹2,65,000","₹2,38,000",New Delhi
2018 Maruti Swift,VXI,Manual,"34,966 km",1st Owner,Petrol,"₹10,792/month","₹6,07,000","₹5,52,000",New Delhi
2016 Maruti Alto 800,LXI,Manual,"89,634 km",1st Owner,Petrol,"₹4,575/month","₹2,92,000","₹2,34,000",New Delhi
2014 Maruti Alto 800,LXI,Manual,"1,02,337 km",1st Owner,Petrol,"₹4,262/month",N/A,"₹2,18,000",New Delhi
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"81,711 km",1st Owner,Petrol,"₹10,929/month","₹6,17,000","₹5,59,000",New Delhi
2019 Maruti Celerio X,ZXI (O),Manual,"54,711 km",1st Owner,Petrol,"₹9,189/month","₹5,60,000","₹4,70,000",New Delhi
2017 Maruti Alto 800,LXI,Manual,"25,868 km",1st Owner,Petrol,"₹6,158/month","₹3,38,000","₹3,15,000",New Delhi
2018 Maruti Swift,VDI,Manual,"66,434 km",1st Owner,Diesel,"₹11,241/month","₹6,54,000","₹5,75,000",New Delhi
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"50,555 km",1st Owner,Petrol,"₹11,320/month","₹6,35,000","₹5,79,000",New Delhi
2018 Hyundai Elite i20,SPORTZ 1.2,Manual,"54,617 km",1st Owner,Petrol,"₹11,593/month","₹6,54,000","₹5,93,000",New Delhi
2016 Maruti Alto 800,LXI,Manual,"67,999 km",3rd Owner,Petrol,"₹4,888/month",N/A,"₹2,50,000",New Delhi
2013 Maruti Swift,VXI,Manual,"77,946 km",1st Owner,Petrol,"₹7,058/month","₹4,24,000","₹3,61,000",New Delhi
2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"47,644 km",1st Owner,Petrol,"₹11,945/month","₹6,94,000","₹6,11,000",New Delhi
2018 Maruti IGNIS,SIGMA 1.2,Manual,"77,588 km",1st Owner,Petrol,"₹7,585/month","₹4,40,000","₹3,88,000",New Delhi
2019 Maruti Ciaz,ALPHA DIESEL 1.5,Manual,"92,089 km",3rd Owner,Diesel,"₹15,249/month","₹8,82,000","₹7,80,000",New Delhi
2019 Honda Amaze,1.2L I-VTEC V,Manual,"67,773 km",1st Owner,CNG,"₹11,671/month","₹6,47,000","₹5,97,000",New Delhi
2019 Toyota Etios Liva,V DUAL TONE,Manual,"82,515 km",1st Owner,CNG,"₹9,892/month","₹5,47,000","₹5,06,000",New Delhi
2014 Hyundai Verna,FLUIDIC 1.6 VTVT SX,Manual,"94,348 km",3rd Owner,Petrol,"₹7,546/month","₹4,21,000","₹3,86,000",New Delhi
2019 Maruti Celerio X,VXI,Manual,"20,802 km",1st Owner,Petrol,"₹8,798/month","₹4,80,000","₹4,50,000",New Delhi
2015 Maruti Celerio,ZXI AMT,Automatic,"1,06,212 km",1st Owner,Petrol,"₹6,823/month","₹3,88,000","₹3,49,000",New Delhi
2019 Maruti Dzire,VDI,Manual,"84,217 km",1st Owner,Diesel,"₹12,219/month","₹6,94,000","₹6,25,000",New Delhi
2018 Maruti Vitara Brezza,VDI,Manual,"99,561 km",1st Owner,Diesel,"₹13,196/month","₹7,32,000","₹6,75,000",New Delhi
2017 Maruti Swift,VXI O,Manual,"1,02,887 km",1st Owner,Petrol,"₹8,719/month","₹4,98,000","₹4,46,000",New Delhi
2014 Maruti Swift Dzire,ZXI,Manual,"1,08,939 km",2nd Owner,Petrol,"₹7,605/month","₹4,33,000","₹3,89,000",New Delhi
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"64,129 km",2nd Owner,Petrol,"₹11,222/month","₹6,00,000","₹5,74,000",New Delhi
2016 Maruti Alto 800,LXI,Manual,"98,428 km",1st Owner,Petrol,"₹5,337/month","₹2,86,000","₹2,73,000",New Delhi
2017 Maruti Celerio,VXI,Manual,"93,026 km",3rd Owner,CNG,"₹6,862/month","₹3,99,000","₹3,51,000",New Delhi
2019 Maruti Celerio,VXI (O) CNG,Manual,"1,12,479 km",1st Owner,CNG,"₹8,758/month","₹5,10,000","₹4,48,000",New Delhi
2018 Maruti Alto 800,LXI,Manual,"89,267 km",1st Owner,Petrol,"₹6,276/month","₹3,31,000","₹3,21,000",New Delhi
2018 Hyundai Elite i20,SPORTZ 1.2,Manual,"77,753 km",1st Owner,Petrol,"₹12,082/month","₹6,51,000","₹6,18,000",New Delhi
2021 Maruti New Wagon-R,LXI CNG 1.0,Manual,"77,064 km",1st Owner,CNG,"₹9,775/month","₹5,99,000","₹5,00,000",New Delhi
2019 Hyundai Creta,SX 1.6 PETROL,Manual,"26,704 km",1st Owner,Petrol,"₹19,681/month","₹11,20,000","₹10,34,000",New Delhi
2019 Tata TIAGO NRG,PETROL,Manual,"14,209 km",1st Owner,Petrol,"₹10,498/month","₹5,69,000","₹5,37,000",New Delhi
2019 Maruti Swift,LXI,Manual,"74,150 km",1st Owner,Petrol,"₹9,873/month","₹5,37,000","₹5,05,000",New Delhi
